Hallmark pathway,Gene symbol,STRING ID,Degree centrality
HALLMARK_ALLOGRAFT_REJECTION,EIF5A,9606.ENSP00000336702,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,IFNGR2,9606.ENSP00000371425,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,MAP3K7,9606.ENSP00000358335,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,MRPL3,9606.ENSP00000264995,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,RPL39,9606.ENSP00000355315,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,SPI1,9606.ENSP00000227163,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,TAP1,9606.ENSP00000346206,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,TAPBP,9606.ENSP00000404833,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,TGFB2,9606.ENSP00000355896,0.0419161676646707
HALLMARK_ALLOGRAFT_REJECTION,BRCA1,9606.ENSP00000418960,0.0359281437125748
HALLMARK_ALLOGRAFT_REJECTION,EIF3J,9606.ENSP00000261868,0.0359281437125748
HALLMARK_ALLOGRAFT_REJECTION,FLNA,9606.ENSP00000358866,0.0359281437125748
HALLMARK_ALLOGRAFT_REJECTION,HCLS1,9606.ENSP00000320176,0.0359281437125748
HALLMARK_ALLOGRAFT_REJECTION,IL12A,9606.ENSP00000303231,0.0359281437125748
HALLMARK_ALLOGRAFT_REJECTION,MTIF2,9606.ENSP00000263629,0.0359281437125748
HALLMARK_ALLOGRAFT_REJECTION,NOS2,9606.ENSP00000327251,0.0359281437125748
HALLMARK_ALLOGRAFT_REJECTION,CDKN2A,9606.ENSP00000418915,0.029940119760479
HALLMARK_ALLOGRAFT_REJECTION,FGR,9606.ENSP00000363117,0.029940119760479
HALLMARK_ALLOGRAFT_REJECTION,IRF4,9606.ENSP00000370343,0.029940119760479
HALLMARK_ALLOGRAFT_REJECTION,LY75,9606.ENSP00000263636,0.029940119760479
